valor;descricao;dataPublicacao;tipoPublicacao;items
R$ 900.000;Apartamento com 4 dormitórios à venda, 248 m² por R$ 900.000,00 - Tirol - Natal/RN;Ontem às 22:17;Profissional;"['""4 quartos', '248m²', '3 vagas"">4 quartos', '248m²', '3 vagas']"
R$ 375.000;Apartamento à venda com 3 dormitórios em Nossa senhora de nazaré, Natal cod:10903;Ontem às 22:17;Profissional;"['""3 quartos', '80m²', 'Condomínio: R$ 542', '2 vagas"">3 quartos', '80m²', 'Condomínio: R$ 542', '2 vagas']"
R$ 240.000;Loft à venda com 1 dormitórios em Ponta negra, Natal cod:8938;Ontem às 22:17;Profissional;"['""1 quarto', '56m²', 'Condomínio: R$ 750', '1 vaga"">1 quarto', '56m²', 'Condomínio: R$ 750', '1 vaga']"
R$ 390.000;Apartamento com 3 dormitórios à venda, 156 m² por R$ 390.000,00 - Lagoa Nova - Natal/RN;Ontem às 22:13;Profissional;"['""3 quartos', '156m²', '2 vagas"">3 quartos', '156m²', '2 vagas']"
R$ 159.000;Apartamento à venda com 2 dormitórios em Zona norte, Natal cod:818020;Ontem às 22:13;Profissional;"['""2 quartos', '51m²', 'Condomínio: R$ 220', '1 vaga"">2 quartos', '51m²', 'Condomínio: R$ 220', '1 vaga']"
R$ 165.000;Apartamento à venda com 3 dormitórios em Barro vermelho, Natal cod:11297;Ontem às 21:55;Profissional;"['""3 quartos', '98m²', 'Condomínio: R$ 350', '2 vagas"">3 quartos', '98m²', 'Condomínio: R$ 350', '2 vagas']"
R$ 540.000;Vendo apartamento de 04 quartos no Saint Charbel;Ontem às 21:55;Profissional;"['""4 quartos', '108m²', 'Condomínio: R$ 420', '2 vagas"">4 quartos', '108m²', 'Condomínio: R$ 420', '2 vagas']"
R$ 690.000;Vendo apartamento de 03 quartos no Royal Palms;Ontem às 21:55;Profissional;"['""3 quartos', '141m²', 'Condomínio: R$ 690', '2 vagas"">3 quartos', '141m²', 'Condomínio: R$ 690', '2 vagas']"
R$ 1.400.000;Apartamento residencial à venda, Areia Preta, Natal.;Ontem às 21:52;Profissional;"['""3 quartos', '250m²', 'Condomínio: R$ 2.000', '4 vagas"">3 quartos', '250m²', 'Condomínio: R$ 2.000', '4 vagas']"
R$ 239.000;Apartamento à venda ponta negra (Natal) | Condomínio Áurea Guedes;Ontem às 21:35;Profissional;"['""2 quartos', '53m²', 'Condomínio: R$ 310', '1 vaga"">2 quartos', '53m²', 'Condomínio: R$ 310', '1 vaga']"
R$ 850.000;Apartamento à venda em Tirol/RN | Beethoven | 250 m² | 4 quartos ( 4 suítes);Ontem às 21:35;Profissional;"['""4 quartos', '250m²', '3 vagas"">4 quartos', '250m²', '3 vagas']"
R$ 150.000;Vendo Lindo Apartamento 2/4 totalmente reformado com móveis planejados;Ontem às 21:27;Profissional;"['""2 quartos', '58m²', 'Condomínio: R$ 200', '1 vaga"">2 quartos', '58m²', 'Condomínio: R$ 200', '1 vaga']"
R$ 700.000;Apartamento à venda com 4 dormitórios em Candelária, Natal cod:793578;Ontem às 21:26;Profissional;"['""4 quartos', '269m²', 'Condomínio: R$ 1.800', '3 vagas"">4 quartos', '269m²', 'Condomínio: R$ 1.800', '3 vagas']"
R$ 289.009;Apartamento Pronto em Lagoa Nova - 3/4 Suíte - Residencial Alvorada;Ontem às 21:20;Profissional;"['""3 quartos', '76m²"">3 quartos', '76m²']"
R$ 316.000;Apartamento Pronto em Lagoa Nova - 3/4 Suíte - Residencial Alvorada;Ontem às 21:20;Profissional;"['""3 quartos', '77m²"">3 quartos', '77m²']"
R$ 215.000;Apartamento à venda com 2 dormitórios em Ribeira, Natal cod:APV 29307;Ontem às 21:12;Profissional;"['""2 quartos', '60m²', 'Condomínio: R$ 415', '1 vaga"">2 quartos', '60m²', 'Condomínio: R$ 415', '1 vaga']"
R$ 890.000;Apartamento Andar Alto em Capim Macio 3 suítes Royal Palms Aceita Pet;Ontem às 21:05;Profissional;"['""3 quartos', '141m²', 'Condomínio: R$ 700', '2 vagas"">3 quartos', '141m²', 'Condomínio: R$ 700', '2 vagas']"
R$ 145.000;Apartamento à venda com 2 dormitórios em Candelária, Natal cod:EI23071;Ontem às 21:00;Profissional;"['""2 quartos', '75m²', 'Condomínio: R$ 350', '1 vaga"">2 quartos', '75m²', 'Condomínio: R$ 350', '1 vaga']"
R$ 1.150.000;Apartamento Natal RN;Ontem às 20:51;Ontem às 20:51<!-- --> ;"['""3 quartos', '146m²', 'Condomínio: R$ 770', '4 vagas"">3 quartos', '146m²', 'Condomínio: R$ 770', '4 vagas']"
R$ 50.000;Vendo apartamento em ótima localização no Centro da Cidade;Ontem às 20:46;Ontem às 20:46<!-- --> ;"['""1 quarto', '30m²"">1 quarto', '30m²']"
R$ 350.000;Apartamento à venda com 2 dormitórios em Tirol, Natal cod:816961;Ontem às 20:37;Profissional;"['""2 quartos', '57m²', 'Condomínio: R$ 365', '2 vagas"">2 quartos', '57m²', 'Condomínio: R$ 365', '2 vagas']"
